run_index,run_type,group_index,alice_label,bob_label,batch_size,n_qubits,loss_rate,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,delivery_rate,expected_delivery,delivery_error,interceptor_label,retry_enabled,qkdl_url,intercepted,group_wall_time_s,timestamp
1,sequential,,alice-1,bob-1,10,128,0.0,done,27.052,427633e3-6049-4c40-bd41-5e0cf5e8ee98,128,62,0.0,10011000011100100011110101001000110010110001000110,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:51:28.171685
2,sequential,,alice-1,bob-1,20,128,0.0,done,27.052,976fbc6f-7a71-44b3-8598-a2d01e5848ee,128,69,0.0,10010111010110011001011111110110011111110001111100001001,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:52:01.481946
3,sequential,,alice-1,bob-1,10,200,0.0,done,20.746,69d0b69a-df95-4a50-875b-800cb16f837f,200,103,0.0,11000001110000111000011001110011111010010011000101010001010011110110000000000001100,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:52:26.382860
4,sequential,,alice-1,bob-1,20,200,0.0,done,41.04,aa394a46-4474-4031-a21f-960c85b9e61e,200,100,0.0,01010000100110110011011101101011001000110000010101111100010101010111100010110100,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8013,False,,2026-05-23T19:53:11.695070
5,sequential,,alice-1,bob-1,10,512,0.0,done,35.027,19ed2608-b444-48e8-9eca-0b65cdd6d82e,512,251,0.02,000001011000010111100100110100100101000001101011000110001010000100101011100000101011100000100110110011000010010000110001010110000110001001101011000110000011101010011010000101110001000000101011001011111,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:53:52.609314
6,sequential,,alice-1,bob-1,20,512,0.0,done,27.106,dc888e4c-47f4-47fe-be33-de3a18bdcde6,512,268,0.0,11100011010010111100111110110100100111110000011100000000011111010111111100011100111010000101101001011100101000001111011010011110101011011100001110010001100100010101111100010101010101001001101110101100011111011111001,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:54:25.195666
7,sequential,,alice-1,bob-1,10,1024,0.0,done,42.221,5a5c7a06-2a7d-47d9-af33-2d58226357e5,1024,494,0.0,110001101011000101011010000110001000100001010110110000001000111111001010011111101110010110110010010011001000111101010010101100000110100010000110000100011100000110011001100100101000000001000011000001001110011011100000001110010010001011111100011000100101100101010110111110110111101110001011111011111100110000010111010011101110101010001001001010001100100111100101011110101011000011001010110110000011,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:55:12.053920
8,sequential,,alice-1,bob-1,20,1024,0.0,done,42.052,52165920-02ba-4e1b-b95e-1b9427f12395,1024,507,0.0,0110010000100011000110100100100000001011101010110101011110011100100110111111001010111100011001100010100011000010011010100110110000110101110000110100000111011011111101001001000010110110011100110101010110010001001110000100000110010110010001000101100100110000010111101010010100011010111101110010001011000110001100000000111111001011101011010010101010010011011101111110011111011110011111100111010100010000110000,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-23T19:55:58.782554
9,sequential,,alice-1,bob-1,10,128,0.05,done,1055.083,bccc0181-bef6-4ccd-8168-0b1b37abe86b,107,60,0.08333333333333333,011111000000010011000010010010111000110000101001,,100.0,Key generated,0.8359,0.95,0.1141,,False,http://localhost:8013,False,,2026-05-23T20:13:39.461797
1,sequential,,alice-1,bob-1,10,128,0.0,done,18.519,cfea1ae8-ac66-4985-b330-72f762be0cf1,128,63,0.0,010110110111011000010111000010100011010011110101100,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:10:37.736433
2,sequential,,alice-1,bob-1,20,128,0.0,done,18.079,de542698-d37b-4d60-80f6-08d34d9b879c,128,69,0.0,10110100101010111100000001000000111111001000110101011010,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:11:00.103720
3,sequential,,alice-1,bob-1,10,200,0.0,done,27.78,4a3a62ac-e174-4297-8b17-3f105960d988,200,104,0.0,001000101111001010010011011101101011001100010010101100111100001111001111010110011011,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:11:32.706260
4,sequential,,alice-1,bob-1,20,200,0.0,done,27.805,93b67e50-d94c-4e95-987b-c5c1bb70895d,200,99,0.0,10101011101110111011000100100111001000110100100010010000100000111001100111101000,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:12:05.347889
5,sequential,,alice-1,bob-1,10,512,0.0,done,67.547,1a13f83c-a3b2-495c-804c-923f18fa7c6e,512,268,0.0,10010110111101001110001010101001110100110110010010101100010101000011001001100100100010110110111100110100100011110101011001000001111011110010001011000010011110110011100110010010010111101110010010110011101000110110110,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:13:18.405995
6,sequential,,alice-1,bob-1,20,512,0.0,done,67.587,cc9f7263-a208-4a58-b10f-fae007ca4a4f,512,261,0.0,11001000001100110000110000100100101101110101011011100000111101011010001001111001100011100100101011011111011111111110110000101111010101100101100100101110110101001100010100001100001100100001111111100110110001010,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:14:31.457855
7,sequential,,alice-1,bob-1,10,1024,0.0,done,132.579,e00fac9d-ac24-405e-8ec4-0187cf277758,1024,531,0.0,11000000011100111000001000010010000000111011101010001000110101001011110101110001111110100110001111010001010100111010001110100110011111000110000101100110010001000110010100010011010000100110011000011011000010100000100001000000000010101110110001000101101110100011011000000111110011100000111011100011110110110111110111001110000101001100110110011101000100110101001001100110111001111000010101000001001001010001001100001111000000001,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:16:49.418536
8,sequential,,alice-1,bob-1,20,1024,0.0,done,132.409,829a5604-e1c8-42bd-a40c-d612c50896ab,1024,523,0.0,00010000100000100000110000111011101001001111001100111011111111101111100001101101000100111100000011000111001010110000101001101110000111110001101111010110001110001000110011011010011101101001101100011001111100011100011100111000100010011001000001001001011101100010010101110101100101000000101110001001011000100010010100011111110101100001100101000010011100111110110001001011001000101111011101011010010011110101001101101001000,,100.0,Key generated,1.0,1.0,0.0,,False,http://localhost:8003,False,,2026-05-24T17:19:07.349448
1,sequential,,alice-1,bob-1,10,128,0.05,start_error,,,,,,,"Client error '409 Conflict' for url 'http://localhost:8001/start?receiver_label=bob-1&n_qubits=128&batch_size=10&loss_rate=0.05&retry_enabled=false'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409",,,,,,,False,,False,,2026-05-24T17:39:51.814398
